UDID,Headline,Headline_Alt,Description,Stable_URL,Date_Published,Date_Modified,Geographic_Area,IP_Right_Name,IP_Right_Wikidata_URL,Service_Type,Service_Name,HowTo_Name,Service_Provider
101-3,Patent infringement,Infringement 101,"Patent infringement can occur when someone uses an invention protected by another person's patent without obtaining permission first. In Australia, granted patents give inventors the ability to control the use of their invention for up to 20 years (or up to 25 years for pharmaceutical patents).",https://ipfirstresponse.ipaustralia.gov.au/options/patent-infringement,2025-07-04,2025-08-18,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Patent infringement,,Self-service
B1001,Choose not to respond immediately ,Gauge the situation  ,When to delay responding to groundless IP infringement claims and how to gather evidence for future defence.,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-respond-immediately,2025-07-01,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Choose not to respond immediately ,How to proceed with Choose not to respond immediately ,Self-service
E1004,What to check before getting registered IP,Before applying,"Learn key steps to evaluate before registering IP, including legal checks, potential conflicts, and strategic considerations for protecting your intellectual property.",https://ipfirstresponse.ipaustralia.gov.au/options/what-check-getting-registered-ip,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What to check before getting registered IP,,Self-service
D1011,Choose not to act immediately ,Guage the situation  ,Strategically enforce your IP only when worthwhile,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-act-immediately,2025-02-28,2025-12-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Choose not to act immediately ,How to proceed with Choose not to act immediately ,Self-service
E1007,"check if someone else already owns a word, logo OR IDEA You WANT ",Checking IP rights ,"Discover how to verify ownership of a word, logo, or idea you want, ensuring your brand's uniqueness and avoiding legal issues.",https://ipfirstresponse.ipaustralia.gov.au/options/check-if-someone-else-already-owns-word-logo-or-idea-you-want,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,"check if someone else already owns a word, logo OR IDEA You WANT ",,Self-service
B1014,Reach an agreement with the accusing party,Negotiation,Negotiate a mutually acceptable commercial or financial resolution.,https://ipfirstresponse.ipaustralia.gov.au/options/reach-agreement-accusing-party,2025-07-01,2025-10-03,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Reach an agreement with the accusing party,How to proceed with Reach an agreement with the accusing party,Self-service
E1006,Discover where you are in your IP journey,Using IP in business,"Explore your intellectual property journey with insights and tools to assess your current stage, enhance strategies, and maximize IP potential.",https://ipfirstresponse.ipaustralia.gov.au/options/discover-where-you-are-your-ip-journey,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Discover where you are in your IP journey,,Self-service
D1016,Challenge the registration of a new trade mark,Opposition process,Initiate a trade mark opposition process against a new trade mark with IP Australia,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark,2025-07-01,2026-01-27,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Challenge the registration of a new trade mark,How to proceed with Challenge the registration of a new trade mark,IP Australia
Dxxxx,DemandOtherPartyStopsInfringing,,Learn how to effectively demand another party to stop infringing on your rights with step-by-step guidance and actionable advice.,https://ipfirstresponse.ipaustralia.gov.au/options/Dxxxx,2026-02-06,2026-02-06,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,DemandOtherPartyStopsInfringing,How to proceed with DemandOtherPartyStopsInfringing,Unknown
E1022,Free IP tools you can use ,Free tools ,"Discover top free IP tools to enhance your network management. Optimize performance, troubleshoot issues, and ensure security with these essential resources.",https://ipfirstresponse.ipaustralia.gov.au/options/free-ip-tools-you-can-use,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Free IP tools you can use ,,Self-service
C1004,Use your trademark prominently to build recognition and protection,Reinforce your right,"Make strong, visible use of your IP to increase consumer recognition and legal standing.",https://ipfirstresponse.ipaustralia.gov.au/options/use-your-trade-mark-prominently-build-recognition-and-protection,2025-07-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,Article,Use your trademark prominently to build recognition and protection,How to proceed with Use your trademark prominently to build recognition and protection,Self-service
B1000,Receiving a letter of demand ,Letter of demand,Understanding what you can do when you receive a letter of demand / cease and desist.,https://ipfirstresponse.ipaustralia.gov.au/options/receiving-letter-demand,2025-07-01,2026-01-29,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Receiving a letter of demand ,How to proceed with Receiving a letter of demand ,Self-service
E1012,I'm not happy with IP Australia - what can I do?,Complaints,"Explore steps to address dissatisfaction with IP Australia, including complaint procedures and alternative solutions for intellectual property concerns.",https://ipfirstresponse.ipaustralia.gov.au/options/i-am-not-happy-ip-australia-what-can-i-do,2025-09-11,2025-09-12,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,I'm not happy with IP Australia - what can I do?,,IP Australia
E1025,Common scams,Protecting your business,"Discover various common scams, learn how to identify them, and protect yourself with practical tips and insights to stay safe and secure online.",https://ipfirstresponse.ipaustralia.gov.au/options/common-scams,2025-09-11,2025-09-12,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Common scams,,Self-service
E1001,Is my business name my IP?,Business names,Discover if your business name qualifies as intellectual property and learn how to protect it legally to secure your brand's identity and uniqueness.,https://ipfirstresponse.ipaustralia.gov.au/options/my-business-name-my-ip,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Is my business name my IP?,,Self-service
D1012,Obtain legal advice on your enforcement options,IP attorney or lawyer,"Seek a qualified & experienced professional to provide specific, tailored advice.",https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,2025-12-02,2025-02-28,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Obtain legal advice on your enforcement options,How to proceed with Obtain legal advice on your enforcement options,Unknown
E1005,Is it worth registering my IP?,Applying for IP,Explore the benefits of registering your intellectual property and understand its impact on protecting your ideas and enhancing business value.,https://ipfirstresponse.ipaustralia.gov.au/options/it-worth-registering-my-ip,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Is it worth registering my IP?,,Self-service
E1008,Does IP help me to make or save money?,Making money,"Explore how intellectual property (IP) strategies can boost your earnings and cut costs, enhancing your financial success through smart IP management.",https://ipfirstresponse.ipaustralia.gov.au/options/does-ip-help-me-make-or-save-money,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Does IP help me to make or save money?,,Self-service
D1024,Challenge the use of international domain name,Domain Name Dispute (UDRP),Dispute an international domain name that infringes your trade mark,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-use-international-domain-name,2025-03-01,2025-12-02,Australia,,,Service,Challenge the use of international domain name,How to proceed with Challenge the use of international domain name,Unknown
C1012,CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,Hiring a professional,Deciding who will conduct growing trials for your plant breeder's rights application.,https://ipfirstresponse.ipaustralia.gov.au/options/choosing-qualified-person-qp,2025-07-28,2025-09-12,Australia,Plant Breeders' Right,https://www.wikidata.org/wiki/Q695112,Service,CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,How to proceed with CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,Unknown
101-8,Trade mark infringement,Infringement 101,"Trade mark infringement can occur when someone uses a brand name, logo, slogan, or another identifying mark that is too similar to someone else's registered trade mark,1 particularly if it is for the same or similar goods or services.2 This can lead to confusion among consumers about the source of the goods or services being offered.",https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-infringement,2025-07-04,2025-12-15,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Trade mark infringement,,Self-service
E1010,What do I do if someone copies my stuff?,IP disputes ,"Learn steps to protect your work when someone copies it, including legal actions and preventive measures to safeguard your intellectual property.",https://ipfirstresponse.ipaustralia.gov.au/options/what-do-i-do-if-someone-copies-my-stuff,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What do I do if someone copies my stuff?,,Self-service
E1021,Is there a global IP office?,Global IP,"Explore the existence of a global IP office, understand international intellectual property management, and learn about key organizations involved.",https://ipfirstresponse.ipaustralia.gov.au/options/there-global-ip-office,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Is there a global IP office?,,Self-service
D1040,Ask your suppliers and sellers to help protect your IP ,Support from your vendors,Contact businesses you work with to raise concerns about suspected IP infringement and ask for their help preventing further infringement.,https://ipfirstresponse.ipaustralia.gov.au/options/ask-your-suppliers-and-sellers-help-protect-your-ip,2025-07-28,2025-09-05,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Ask your suppliers and sellers to help protect your IP ,How to proceed with Ask your suppliers and sellers to help protect your IP ,Self-service
C1011,Check your idea against existing patents.,Patent search,Conduct a thorough search of existing patents - also known as Freedom to Operate search.,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-idea-against-existing-patents,2025-07-28,2025-09-05,Australia,Patent,https://www.wikidata.org/wiki/Q253623,Article,Check your idea against existing patents.,How to proceed with Check your idea against existing patents.,Self-service
D1018,"Seek binding, authoritative decisions",Court - Patent,Escalate a wide range of patent matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-patents,2025-02-28,2025-09-24,Australia,Patent,https://www.wikidata.org/wiki/Q253623,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
101-1,How to avoid infringing others' intellectual property,Infringement 101,"Running a business or developing new products or services often means creating intellectual property (IP) or encountering IP rights owned by others. Whether it is a brand name, invention, design, or creative work, using something similar to someone else's existing intellectual property may be considered infringement.",https://ipfirstresponse.ipaustralia.gov.au/options/how-avoid-infringing-others-intellectual-property,2025-07-04,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,How to avoid infringing others' intellectual property,,IP Australia
B1009,Challenge a granted patent ,Patent Re-Examination ,Challenge the validity of a patent that you are accused of infringing.,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-granted-patent,2025-02-28,2026-01-27,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Challenge a granted patent ,How to proceed with Challenge a granted patent ,IP Australia
E1000,What is IP and how does it protect me?,Learn about IP,"Learn about IP addresses, their role in online security, and how they protect your data and privacy while browsing the internet.",https://ipfirstresponse.ipaustralia.gov.au/options/what-ip-and-how-does-it-protect-me,2025-09-11,2025-08-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What is IP and how does it protect me?,,Self-service
D1018,"Seek binding, authoritative decisions",Court - Patent,Escalate a wide range of patent matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-patents,2025-02-28,2025-09-24,Australia,Patent,https://www.wikidata.org/wiki/Q253623,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1017,Challenge a new or amended patent,Patent opposition,Initiate a challenge to the validity of a new patent with IP Australia,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-new-or-amended-patent,2025-02-28,2025-10-03,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Challenge a new or amended patent,How to proceed with Challenge a new or amended patent,IP Australia
C1007,Explore opportunities by licensing  your IP,IP Licensing,Consider licensing your IP to others or obtaining a licence for contested IP to avoid disputes and add value.,https://ipfirstresponse.ipaustralia.gov.au/options/explore-opportunities-licensing-your-ip,2025-07-28,2025-09-05,Australia,,,Article,Explore opportunities by licensing  your IP,How to proceed with Explore opportunities by licensing  your IP,Self-service
E1014,What can I expect from a lawyer or attorney?,Getting legal help ,"Discover what services and support you can expect from a lawyer, including legal advice, representation, and guidance through legal processes.",https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-expect-lawyer-or-attorney,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,What can I expect from a lawyer or attorney?,,Unknown
Dxxxx,ApplyDesignRightRegisterYourDesign,,Register your design to protect your intellectual property with a design right. Secure your unique creations and gain exclusive rights to your innovative designs.,https://ipfirstresponse.ipaustralia.gov.au/options/Dxxxx,2026-02-06,2026-02-06,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,GovernmentService,ApplyDesignRightRegisterYourDesign,,Unknown
D1001,Choose to rebrand to avoid potential IP conflicts,Rebrand your business  ,Strategically rebrand your business to avoid disputes.,https://ipfirstresponse.ipaustralia.gov.au/options/choose-rebrand-avoid-potential-ip-conflicts,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,Article,Choose to rebrand to avoid potential IP conflicts,How to proceed with Choose to rebrand to avoid potential IP conflicts,Self-service
B1009,Challenge a granted patent ,Patent Re-Examination ,Challenge the validity of a patent that you are accused of infringing.,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-granted-patent,2025-02-28,2026-01-27,Australia,Patent,https://www.wikidata.org/wiki/Q253623,GovernmentService,Challenge a granted patent ,How to proceed with Challenge a granted patent ,IP Australia
D1084,"Seek binding, authoritative decisions",Court - PBR,Escalate a wide range of PBR matters to court.,https://ipfirstresponse.ipaustralia.gov.au/court-pbr,2026-01-23,2026-02-03,Australia,Plant Breeders' Right,https://www.wikidata.org/wiki/Q695112,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1080,Choosing the right IP professional,Hiring a professional,"Different professionals offer different expertise. Find out who does what, how they can help, and what to consider when choosing someone for your situation.",https://ipfirstresponse.ipaustralia.gov.au/options/choosing-right-ip-professional,2025-01-23,2025-01-27,Australia,,,Service,Choosing the right IP professional,,Unknown
E1020,Can I protect my ideas in other countries?,IP in other countries,"Learn how to safeguard your intellectual property internationally, ensuring your ideas are protected across borders with expert tips and legal insights.",https://ipfirstresponse.ipaustralia.gov.au/options/can-i-protect-my-ideas-worldwide-ip-right,2025-09-11,2025-11-14,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Can I protect my ideas in other countries?,,Self-service
101-9,Addressing Overseas Infringement,Infringement 101,"Australian businesses that discover their intellectual property (IP) is being infringed overseas face unique challenges. By understanding these challenges, they can make informed decisions about how to protect their IP internationally.",https://ipfirstresponse.ipaustralia.gov.au/options/addressing-overseas-infringement,2025-07-04,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Addressing Overseas Infringement,,Self-service
B1020,Request IP Australia remove an unused trade mark to defend your right,Trade mark non-use action,Request IP Australia removes an unused trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-remove-unused-trade-mark-defend-your-right,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Request IP Australia remove an unused trade mark to defend your right,How to proceed with Request IP Australia remove an unused trade mark to defend your right,IP Australia
B1016,Considerations when responding to international accusations,International disputes,Find the right assistance for responding to accusations of IP infringement happening outside of Australia.,https://ipfirstresponse.ipaustralia.gov.au/options/considerations-when-responding-international-accusations,2025-07-01,2025-10-01,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Considerations when responding to international accusations,How to proceed with Considerations when responding to international accusations,Self-service
D1014,resolve conflicts with the help of experienced facilitators  ,Alternative dispute resolution (ADR) ,Understand more about the options in the ADR space.,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,2025-02-28,2026-01-09,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,resolve conflicts with the help of experienced facilitators  ,How to proceed with resolve conflicts with the help of experienced facilitators  ,Unknown
D1005,"Seek binding, authoritative decisions",Court - Trade mark,Escalate a wide range of trade mark matters to court,https://ipfirstresponse.ipaustralia.gov.au/options/court-trade-marks,2025-02-28,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,Service,"Seek binding, authoritative decisions","How to proceed with Seek binding, authoritative decisions",Unknown
D1036,Considerations before enforcing your IP overseas,International disputes,Find the right assistance to enforce your IP right in the case of infringement happening outside of Australia.,https://ipfirstresponse.ipaustralia.gov.au/options/enforce-your-ip-overseas,2025-02-28,2025-12-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Considerations before enforcing your IP overseas,How to proceed with Considerations before enforcing your IP overseas,Self-service
D1006,Resolve IP issues with the help of a third party,Mediation ,Invite the other party to enter into mediation to agree to mutually acceptable agreement,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,2025-03-01,2025-10-17,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Resolve IP issues with the help of a third party,How to proceed with Resolve IP issues with the help of a third party,Unknown
D1002,Stop infringing goods entering the country,Notice of Objection,Lodge a notice of objection with the Australian Border Force.,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringing-goods-entering-country,2025-02-28,2026-01-22,Australia,,,GovernmentService,Stop infringing goods entering the country,How to proceed with Stop infringing goods entering the country,Australian Border Force
B1005,Register your trade mark,Apply for a trade mark,Apply to IP Australia for a registered trade mark to secure exclusive rights to your brand to reinforce your defence.,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-trade-mark,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Register your trade mark,How to proceed with Register your trade mark,IP Australia
D1029,Resolve IP issues with the help of a third party,Arbitration ,Agree to be bound by the decision of a highly qualified third-party assessment,https://ipfirstresponse.ipaustralia.gov.au/options/arbitration,2025-03-01,2026-01-27,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Resolve IP issues with the help of a third party,How to proceed with Resolve IP issues with the help of a third party,Unknown
D1030,Seek a court order to prevent further damage while preparing for court.,Interim court injuction order,Lodge an interim injunction order through court,https://ipfirstresponse.ipaustralia.gov.au/options/Interim_Injunction,2025-02-28,2026-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Service,Seek a court order to prevent further damage while preparing for court.,How to proceed with Seek a court order to prevent further damage while preparing for court.,Unknown
C1006,Help customers differentiate between your products and lookalikes  ,Educate your customers ,Build brand loyalty and reduce confusion by clearly explaining what makes your product genuine.,https://ipfirstresponse.ipaustralia.gov.au/options/help-customers-differentiate-between-your-products-and-lookalikes,2025-07-28,2025-10-02,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,Help customers differentiate between your products and lookalikes  ,How to proceed with Help customers differentiate between your products and lookalikes  ,Self-service
101-7,What to do if someone infringes your IP,Infringement 101,"Discovering that someone might be using your intellectual property without permission can be both frustrating and concerning. Whether it is your brand name, invention, design, or creative work, knowing how to respond appropriately is vital for protecting your rights while avoiding unnecessary costs and complications.",https://ipfirstresponse.ipaustralia.gov.au/options/what-do-if-someone-infringes-your-ip,2025-07-04,2025-01-22,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What to do if someone infringes your IP,,Self-service
B1006,Respond to an opposition filed against your trade mark,Opposition process,How to respond when someone has opposed your trade mark application,https://ipfirstresponse.ipaustralia.gov.au/options/respond-opposition-filed-against-your-trade-mark,2025-07-01,2025-09-05,Australia,Trade Mark,https://www.wikidata.org/wiki/Q167270,GovernmentService,Respond to an opposition filed against your trade mark,How to proceed with Respond to an opposition filed against your trade mark,IP Australia
E1002,What IP protection means for my business ,Protecting your business,IP protection means securing legal rights over the things your business creates…,https://ipfirstresponse.ipaustralia.gov.au/options/what-does-ip-protection-mean-my-business,2025-09-11,2025-09-11,Australia,All Intellectual Property Rights,https://www.wikidata.org/wiki/Q108855835,Article,What IP protection means for my business ,,Self-service
