UDID,Headline_Alt,What_are_the_benefits,What_are_the_risks,What_might_the_cost_be,How_much_time_might_be_involved,Who_can_use_this,Whos_involved,How_much_is_this_used,What_are_the_possible_outcomes
D1010,Letter of demand,"* Often cost-effective.

* Can be quick to action but needs to be drafted very carefully.

* Reasonable likelihood of stopping infringing behaviour without the need for additional steps - 43.7% of respondents, who are patent holders, found it effective at stopping copying behaviour (Weatherall K and Webster E (2010) 'Patent infringement in Australia: Results from a survey', Federal Law Review, 38, 21-70, 40).

* Allows you to consider many options to escalate, if suspected infringement continues.","* Making an unjustified threat that you will start legal action against another person for IP infringement can result in liability for compensation, damages or costs and in you being ordered to stop making the threat.

* Including unreasonably onerous and aggressive terms in your letter (for example, short time frames, demands that do not relate to the IP in question) may prompt the other party to escalate and resist, rather than comply.

* Exposing yourself to the other party by contacting them might prompt the other party to take actions against you, escalating the conflict in an unwanted way. This could potentially jeopardise your own IP rights.

* For trade marks, it might also prompt the other party to apply for their own trade mark, which may then need to be opposed.

* Sending a letter of demand might give the suspected infringer time to hide or destroy evidence. This could harm your case in future legal actions. If you are worried about this possibility, speak to an IP lawyer before you take any further action.",,,"Someone who owns IP or is an authorised user, and can provide evidence of their rights.",,,"Sending a letter of demand can result in a wide range of different outcomes depending on the specific circumstances.
Some possible outcomes are:
* The alleged infringing behaviour stops upon receipt of the letter, especially if the recipient was simply unaware of existing IP rights.

* The alleged infringer does not change their behaviour, in which case you may have to consider other enforcement options.

* Parties can engage in further correspondence disputing part or all of your claims.

* The conflict can further escalate into more serious, formal dispute settlement procedures (that is, litigation, arbitration, administrative hearings).

* The other party may not fulfil all the requirements but may be willing to participate in some form of negotiation.

* The other party may commence proceedings challenging the validity of the IP right, or be prompted to take legal action against you (for instance if they are of the opinion that you are infringing on their rights). This could include seeking damages or compensation for unjustified threatsor an order that you stop making the threat."
E1024,Protecting your business,,,,,,,,
B1012,Informal contact,"* Early dialogue can limit legal costs and reduce the risk of expensive and lengthy litigation.

* Settlement terms such as licences or co-existence agreements may lead to practical benefits like agreed market access or ongoing use.

* Confidential negotiations may preserve commercial relationships and business reputation.

* You and the other party keep control of the timeline and proposed solutions.

* When there is an existing relationship to build on (even simply both parties being in the same industry), it can be easier to find productive, business-specific solutions.","* Relies on the other party's willingness to engage or negotiate with you.

* Either party can withdraw from the conversation at any point in time, resulting in wasted time, money and effort.

* If you share sensitive business information without a confidentiality agreement, it may be used against you later.

* A mere verbal agreement, without a signed or executed deed of settlement, may not be easily enforceable.",,,Anyone that has been contacted about allegedly infringing on someone else's IP and wishes to explore co-operative solutions rather than escalating the dispute.,,"Many businesses choose to engage in a dialogue with the other party, with or without obtaining legal advice.","* You both agree that no infringement has occurred, and no further action is taken.

* You and the other party 'agree to disagree', but no further action is taken.

* You reach a financial settlement or pay a one-off fee for past use.

* You enter a licence or co-existence agreement that allows continued use under agreed conditions and undertake not to infringe in the future.

* You can also agree to purchase the IP.

* You agree to alter or withdraw the product, branding or content within a set timeframe.

* You agree to resolve the matter through alternative dispute settlement procedures such as mediation or arbitration.

* One of the parties may choose to take the matter to the court."
D1006,Mediation ,"* Costs and duration of the process is generally quite low.

* Mediation can be conducted across different jurisdictions.

* Less adversarial than other procedures such as arbitration and court proceedings, helping you preserve your relationship with the other party by reducing emotional strain and preventing the discussions from being too heated.

* Flexible and informal, as parties have control over shaping the process.

* Parties can narrow the scope of a dispute to the issues that matter to both sides.

* Offers broad, productive or creative solutions to issues.

* Confidentiality, as the details of mediation and the resulting agreements reached are not publicly available, allowing parties to discuss commercially sensitive topics freely.

* Following a mediation outcome, it is open to the parties to the mediation to take further steps between them. This can include entering into a legally binding agreement that incorporates some or all of the outcomes from the mediation, provided the parties clearly intend and agree to it.

* Other enforcement processes often expect you to have negotiated in good faith before escalating (for example, a court is likely to require mediation be attempted before hearing a case).","* Relies on genuine engagement and willingness of parties to resolve issues.

* Facilitators may not have an adequate skillset for resolving complex intellectual property disputes.

* Outcomes may not be as easily enforceable as court or tribunal decisions, especially when parties have not clearly indicated that the outcome of the mediation is to be legally binding.",,,"Anybody who is a party to a dispute.
Mediation generally requires engagement from both parties to the dispute, though some mediation providers will allow a single party to submit a unilateral request for mediation and then encourage the other party to participate in mediation.",,,"Possible outcomes include:
* One party does not agree to engage in mediation

* Parties successfully negotiate and reach an agreement to resolve a dispute with help from a mediator

* Parties unable to reach an agreement and withdraw from the mediation process, with the possibility of one or more parties escalating the matter to other dispute resolution processes."
Dxxxx,,,,,,,,,
D1022,World IP Organisation (WIPO) ,"While this varies depending on the ADR process used, ADR generally offers the following benefits over dispute resolution through the court system:
* Costs are lower than court proceedings - particularly in the case of complex international disputes.

* Flexible and informal, as parties have control over shaping the process.

* Offers broader and more creative resolution solutions.

* Confidentiality, as decisions and records are not shared with the public.

* Less confrontational, helping both parties keep things from getting heated and can help preserve business relationships.

* If a dispute spans across multiple countries, a single ADR procedure can potentially resolve all the issues in one forum, saving time, reducing costs, and minimising the risk of inconsistent outcomes. Can have binding and enforceable outcomes in the form of a settlement contract or arbitral award.

* Arbitral decisions are final and cannot be appealed, unlike court rulings, while mediated settlements typically align with both parties' interests, preventing the likelihood of further dispute.

* Globally enforceable, whereas a court decision is typically confined to the jurisdiction of the country where the court is located. Using the WIPO Center's services has the additional benefits of:Procedural assistance so the process is easy to navigate and use. Simplifying international disputes that involve multiple jurisdictions and languages.","* Relies on genuine engagement and willingness of parties to work out an agreement.

* Without a binding agreement prior to the process, either party can withdraw from the process at any point in time, resulting in wasted time, money and effort.",,,"Anybody who is a party to a dispute. However, ADR options, including those provided by the WIPO Center, generally require engagement from both parties to the dispute. It can be easier to use their services if:
* Parties agree to resolve their dispute through the WIPO Center - However, the WIPO Center allows one party to initiate mediation by submittinga unilateral request for mediation.

* There is a contract in place whereby parties agree to resolve disputes through the WIPO Center. You might wish to consider includingADR clauses in your contractsin case you would like to resolve your future IP disputes with your business partners through ADR at the WIPO Center.",,,"Outcomes of ADR will depend on the specific type of ADR processes used. Possible outcomes include:
* Parties successfully negotiating and reaching an agreement to resolve a dispute.

* A binding decision such as an arbitral award or an enforceable settlement agreement.

* Further escalation into court litigation.

* Parties may withdraw from the ADR process prior to resolution of the dispute."
D1057,Report IP crime or safety concerns,,,,,,,,
E1003,Costs of IP,,,,,,,,
101-3,Infringement 101,,,,,,,,
B1001,Gauge the situation  ,* Gives you time to consider your options and gather evidence and documentation to understand your position better.,"* If you do not take some action in response to the allegations of infringement in a timely way, the person alleging infringement may decide to escalate the issue and, for example, commence a legal action.

* If you have received a letter of demand (or cease and desist letter), the other party may expect a response within a set period of time: seeReceiving a letter of demand.

* If you are actually infringing the other party's IP rights and you continue to do so while you decide what to do, then your ongoing infringement (particularly after you were made aware) could result in the other party being able to claim additional compensation if they start legal action against you.",,,"* Anyone accused of infringing IP, particularly where the claim seems unfounded

* People who want time to gather evidence and obtain legal advice before making a move.",,Most businesses will take some time to evaluate the situation before deciding what to do.,"* The other party may give up and decide not to escalate the issue.

* The other party chooses to escalate the dispute.

* You decide to take action - for example, by sending a reply, seeking legal advice, or starting legal action (including where the other party has made unjustified threats of infringement action against you (also referred to as 'groundless threats' in copyright law)."
E1004,Before applying,,,,,,,,
D1011,Guage the situation  ,"* The time, cost and labour required to take actions to prevent infringement on your IP may not be justified at this point in your business or IP journey.

* Taking no immediate action can allow you to gather evidence and time to evaluate the true risk and possible damage to your business, so you can act when the time is right.

* You can usually change your mind and pursue an action in future - you are not required to act as soon as you became aware of infringement, although delays could pose risks.

* Infringing businesses may fail or leave the market with no intervention from you.

* Choosing to avoid enforcement actions shelters you from needing to establish or defend your rights, which you may not wish to draw attention to.

* You can choose more opportune timing to take action, for example: when your business is impacted enough to warrant action, when you have gathered enough evidence to take effective action, or other practical timing issues relating to your business (like avoiding the busy season).","* Without professional advice, there is a risk that you will miss easy and effective enforcement options.

* Delaying taking enforcement actions may make them more difficult to pursue in the future.

* The cost and energy of monitoring the infringement in an ongoing way may exceed the effort of dealing with it immediately.

* If infringement has happened and you do not take action, the infringement may be repeated by the current infringer or others also infringing.

* Allowing infringement - even that which doesn't directly damage your business - may:affect public perception of your rightsundermine your entitlement to these rightsin extreme cases, leave you open to legal actions (such as cases where fake versions of a product pose a risk to customers).",,,Both large and small businesses use this strategy frequently - only pursuing enforcement when it is necessary.,,,"* The consequences of infringement remain (or become) insignificant.

* The consequences of infringement increase, and you re-evaluate your stance on enforcement."
E1007,Checking IP rights ,,,,,,,,
B1014,Negotiation,"This option offers a lower cost, flexible and private way to resolve IP disputes. A negotiated commercial solution offers:
* Potentially lower costs and a quicker process, especially compared to other dispute resolution processes where you must rely on third parties (such as courts and tribunals).

* The ability to agree to a creative, productive outcome that can benefit both parties commercially.

* A much less adversarial pathway than legal procedures, helping you preserve your relationship with the other party.

* A flexible and informal approach, as it is entirely up to the parties to shape the process.

* Negotiation can be conducted across multiple jurisdictions.

* Confidentiality, as the details of negotiation and the resulting agreements reached are generally not publicly available, allowing parties to discuss commercially sensitive topics freely.","* Relies on genuine engagement and willingness of parties to resolve issues.

* If the discussion stalls or backfires, this could result in delays or lost opportunities.

* Outcomes may not be as easily enforceable as court or tribunal decisions, especially when parties have not clearly indicated that the outcome of the negotiation is to be legally binding.

* In some cases, direct contact may worsen tensions. If the other party considers that you are posing unreasonable aggressive or unprofessional terms for negotiation (not negotiating in good faith), it may prompt the other party to escalate and resist, rather than comply. Some commercial arrangements may result in your intellectual property being 'diluted' by sharing the same or similar IP with others, which may cause damage to the value of your IP and make it harder to enforce it in the future.

* If not handled with caution, it is possible that you may say something that undermines your legal position, which could result in less favourable outcomes if formal action follows.",,,Any party to an IP dispute willing to engage in good faith dialogue. Some businesses choose to use commercial negotiation even when they are unsure whether infringement has occurred.,,Commercial negotiation is a routine strategy used by businesses in a range of situations.,"Commercial negotiations can result in a wide range of different outcomes depending on the parties' desires and specific circumstances. If you are able to reach an agreed outcome, this might result in:
* A licence or co-existence arrangement,

* Selling or transferring IP ownership (calledassignment),

* Compensation or goodwill payment,

* Franchising options, or

* Mutual agreement to stop or change the disputed conduct.
You can read more about these potential outcomes of negotiations here 

Agree to a commercial arrangement | IP Australia First Response
If you cannot reach a resolution, the matter may escalate into further enforcement actions.
If you cannot reach a resolution, the matter may escalate into further enforcement actions."
E1006,Using IP in business,,,,,,,,
D1016,Opposition process,"* A successful opposition weakens the other party's rights to the trade mark that is allegedly being copied or used without permission.

* Trade mark opposition and hearing processes are more informal and generally quicker than court proceedings in reaching an outcome.

* Hearing officers in IP Australia have a high level of expertise, experience and authority in the field of trade mark law.

* The process is accessible without professional assistance required, though IP professionals are commonly used.

* The process allows parties to request a cooling-off period or temporary suspension of the process to engage in negotiations and settlement, should they wish to resolve the dispute that way.

* You can withdraw from the opposition process at any time before the hearing officer has made a decision. This allows parties to start and continue negotiation throughout the opposition process and agree to withdraw from the process if a settlement is reached.","* If your opposition is unsuccessful and the trade mark proceeds to registration, you may also be required to pay the other party's costs.

* When opposing the registration of a trade mark, the applicant will be notified of your opposition. You should consider your overall strategy and if you are comfortable having the other party be aware of your actions.

* Due to the public nature of these procedures there is a risk of public scrutiny, exposure of sensitive information, negative publicity or reputational damage. The decision to take an enforcement action should be considered as part of your IP/brand protection strategy.

* There is a risk that taking this action would require you to defend your own IP rights. The ruling might not go your way and undermine the strength of your own IP.

* Using these procedures improperly can be considered a bullying tactic and may expose you to costs.

* If you are successful in opposing registration of a trade mark, the denied applicant may appeal the decision to court.

* If you lose, the other party may refer to that decision in their infringement claim, though Courts are not bound by IP Australia's decisions.

* The other party may still take court action during the process.",,,Any person can oppose accepted trade marks within the opposition period.,,"Between 1% - 3% of trade marks whose acceptance is advertised are opposed. This currently equates to around 2,000 oppositions to registration per year.","* IP Australia refuses the application and the trade mark does become registered.

* The applicant narrows or amends thegoods and services specified in thetrade markapplication, and it proceeds in a reduced form.

* The oppositionto registering the trade mark is dismissedand the trade markis registered without changes.

* Either party appeals a decisionto the AdministrativeReview Tribunal, or the Federal Court of Australia, or the Federal Circuit and Family Court.

* The parties settle privately and withdraw the opposition (or application) before a decision."
Dxxxx,,"* Often cost-effective.

* Can be quick to action but needs to be drafted very carefully.

* Reasonable likelihood of stopping infringing behaviour without the need for additional steps - 43.7% of respondents, who are patent holders, found it effective at stopping copying behaviour (Weatherall K and Webster E (2010) 'Patent infringement in Australia: Results from a survey', Federal Law Review, 38, 21-70, 40).

* Allows you to consider many options to escalate, if suspected infringement continues.","* Making an unjustified threat that you will start legal action against another person for IP infringement can result in liability for compensation, damages or costs and in you being ordered to stop making the threat.

* Including unreasonably onerous and aggressive terms in your letter (for example, short time frames, demands that do not relate to the IP in question) may prompt the other party to escalate and resist, rather than comply.

* Exposing yourself to the other party by contacting them might prompt the other party to take actions against you, escalating the conflict in an unwanted way. This could potentially jeopardise your own IP rights.

* For trade marks, it might also prompt the other party to apply for their own trade mark, which may then need to be opposed.

* Sending a letter of demand might give the suspected infringer time to hide or destroy evidence. This could harm your case in future legal actions. If you are worried about this possibility, speak to an IP lawyer before you take any further action.",,,"Someone who owns IP or is an authorised user, and can provide evidence of their rights.",,,"Sending a letter of demand can result in a wide range of different outcomes depending on the specific circumstances.
Some possible outcomes are:
* The alleged infringing behaviour stops upon receipt of the letter, especially if the recipient was simply unaware of existing IP rights.

* The alleged infringer does not change their behaviour, in which case you may have to consider other enforcement options.

* Parties can engage in further correspondence disputing part or all of your claims.

* The conflict can further escalate into more serious, formal dispute settlement procedures (that is, litigation, arbitration, administrative hearings).

* The other party may not fulfil all the requirements but may be willing to participate in some form of negotiation.

* The other party may commence proceedings challenging the validity of the IP right, or be prompted to take legal action against you (for instance if they are of the opinion that you are infringing on their rights). This could include seeking damages or compensation for unjustified threatsor an order that you stop making the threat."
E1022,Free tools ,,,,,,,,
C1004,Reinforce your right,"* Increases likelihood of building public recognition and goodwill for the brand.

* Creates evidence of trade mark use that may support administration processes or enforcement later.

* Helps prevent a mark becoming generic or losing distinctiveness.

* Deters copycats by signalling that you value and monitor the trade mark.","* Misuse of the '®' symbol before registration can attract penalties under the Trade Marks Act 1995. For more information on this, see:What are trade marks? | IP Australia.

* Strict brand rules may limit creative marketing or re‑branding opportunities.",,,Any trade mark owner or authorised user.,,"Developing policies and guidelines for consistent, strategic use of trade mark is commonly used by businesses that have trade marks. It is often seen as part of best practices to reinforce one's right to a trade mark.","Using your trade mark in a consistent manner may result in:
* Customers reliably associating the mark with your business alone

* Easier proof of ownership and distinctiveness in a dispute or trade mark application

* Fewer instances of accidental misuse by employees or third parties."
B1000,Letter of demand,"* Gives the receiver a clear and early warning of a potential dispute, allowing time to gather information.

* Offers a chance to resolve matters quicklywithout going to court.

* Clarifies the specific IP right and scope of goods or services in question so that it can be verified.

* Provides a written record of the sender's position, which can inform negotiations and clarifies what is being asked and why.

* Can open dialogue that preserves business relationships, if handled constructively.","When you receive a letter of demand, there are risks which should be managed carefully:
* Ignoring the letter, missing the response deadline or responding inadequately may result in the sender starting legal action against you.

* Admitting liability may strengthen the sender's claims or lead to further demands.

* Sharing the letter publicly may result in reputational harm.",,,"An owner or, in some cases, an authorised user or licensee of IP rights can send a letter of demand to someone if they have a proper basis for alleging that the other person is infringing their IP rights. The recipient of a letter of demand could be almost anyone, from a large business to a small business, to a private individual.",,Letters of demand are a commonly used tool in IP disputes.,"There are a range of possible outcomes depending on how you respond, and whether the other party continues to pursue the matter. These can include:
* Youengage a legal professionalto advise you or to respond on your behalf.

* You respond directly and explain why you disagree with claims made by the sender.

* You respond andagree to stop the alleged conductand to comply with none, some or all other demands (potentially without admitting liability).

* You ask them to negotiate or you suggest to resolve the dispute through analternative dispute resolution process, such as mediation.

* You ignore the letter - which may lead to the other party escalating the matter, such as starting legal action against you. It may not be advisable to ignore a letter of demand without first speaking to an IP lawyer or IP attorney."
E1012,Complaints,,,,,,,,
E1025,Protecting your business,,,,,,,,
E1001,Business names,,,,,,,,
D1012,IP attorney or lawyer,"* In most cases, engaging a legal professional is likely to reduce the risks you may encounter in enforcing your IP rights.

* Legal professionals can provide a wide range of legal services and develop a holistic IP enforcement strategy suited to your IP and business goals.

* They have the knowledge, training and experience to guide you through a dispute or a conflict which can be highly stressful and draining.

* They have an in-depth knowledge of relevant legislation and industry practices surrounding IP, with the ability to leverage both appropriately and proportionately.

* They are bound by codes of conduct, professional standards and ethical obligations to act in your best interests, stay away from conflicts of interests and unethical conduct.

* They are able to recognise common issues which come up and refer you to other professionals when needed.","* Some legal professionals have different specialties and may be more effective in their particular field of expertise. For instance, your lawyer may be highly experienced in dealing with trade marks, but not so much in patents, or vice versa.

* Once you engage a legal professional for their service, they are obliged to follow your instructions. While they can advise you on certain courses of action, you have the ultimate decision. Using a legal professional can lead to a false sense of security if you do not understand and pay heed to their advice.",,,Anyone - You do not have to be an IP rights owner to engage a legal professional.,,"IP Australia does not have access to information about how many, nor for which reasons, businesses engage IP lawyers and IP attorneys.","The outcomes of seeing a legal professional depend heavily on your individual circumstances.
A legal professional can provide you with legal and strategic advice and act for you at different stages of IP protection and enforcement. They can:
* Develop an IP strategy for your business.

* Search for existing IP rights similar to your current or future IP.

* Prepare and file your application for a registered right (if they are an IP attorney).

* Develop confidentiality or non-disclosure agreements.

* Provide advice on enforcement options.

* Assist and represent you in taking enforcement actions.

* Provide advice on taking your IP to international markets."
E1005,Applying for IP,,,,,,,,
E1008,Making money,,,,,,,,
D1024,Domain Name Dispute (UDRP),"Benefits vary depending on the relevant dispute resolution policy. Some country code dispute resolution policies may have different requirements. For the UDRP, and country code policies closely based on it, benefits include:
* The process can occur even without participation from the other party.

* Fast and accessible process.

* A focus on practical, non-punitive outcomes.

* Fair opportunity for both parties to present their case in writing.

* There is usually no compensation for loss (including lawyers' costs) or damages, meaning this process is less adversarial.

* If using WIPO as a dispute resolution provider, the WIPO Arbitration and Mediation Center will provide free procedural/service support to help navigate the process.","* Decisions are usually made public. If you are found to have made an unjustified threat it could expose you to public scrutiny, negative publicity or reputational damage.

* Undergoing a formal dispute resolution process may undermine existing or future business relationships with the other party.

* If either party is unhappy with the decision of the panel, they can initiate legal proceedings. This can get complicated when dealing with international disputes, and will probably be in the registrar's or the registrant's location. This means you may not be able to choose which jurisdiction/country the court is in.",,,"Anyone with competing legal rights to a domain name licence (including the ownership of a relevant trade mark). Whether you have the right to the licence will depend on the dispute resolution policy.
When using the UDRP your trade mark can be registered anywhere in the world, including Australia. Some specific country code domains might require that your trade mark is registered in that country.",,,"For the UDRP and country code policies based closely on the UDRP, these main outcomes are possible as a result of the panel's decision:
* The disputed domain name licence(s) cancelled, in which case the domain name(s) will become available for registration by another eligible party.

* The disputed domain name licence(s) is transferred to you.

* The disputed domain name licence(s) remains with the current registrant.

* If the Panel finds that the complaint was brought in bad faith they will note in their decision that the complaint constitutes an abuse of the proceeding called 'reverse domain name hijacking'.

* For more infoWIPO Guide to the Uniform Domain Name Dispute Resolution Policy (UDRP).
You and the other party are still able to reach a direct settlement during the proceedings. If this occurs before a panel is appointed, you are entitled to a partial refund of the filing fee. In most cases this is a refund of US $1,000."
C1012,Hiring a professional,"* Engaging a QP is a requirement to registering a PBR.

* Relevant expert oversight helps set up robust trials and increases chances of a PBR being accepted.

* Accredited status lends credibility when negotiating with investors or partners.

* Choosing the right QP can shorten overall application time by getting the trial right the first time. Please note:You must engage a QP even if you do not need to do an Australian growing trial.

* Outsourcing this work allows plant breeders to focus on commercial plans rather than technical paperwork.","* Due to the limited availability of QPs in some plant groups, not engaging a QP early in the process may result in scheduling delays.

* To become a QP yourself adds time and cost to the PBR application.",,,"* Plant breeders or PBR applicants who need an accredited expert for their trial.

* Experienced plant scientists seeking accreditation to act as a consultant QP.

* Breeders with the relevant experience seeking to become a non-consultant QP for their own plant breed.",,"There are a small number of accredited consultant QPs in Australia. To find a detailed list please visit the 

Qualified Persons Directory

.","* For breeders:Engaging a QP is a requirement to registering a PBR. Finding a QP who specialised in your area can help your PBR application proceeds smoothly with certified trial data.

* To become a QP:Accreditation is granted and the new QP is added to the public register. Accreditation application is refused, requiring further evidence or experience. Accreditation lapses if renewal paperwork or fees are not lodged on time."
101-8,Infringement 101,,,,,,,,
E1010,IP disputes ,,,,,,,,
E1021,Global IP,,,,,,,,
