UDID,Headline_Alt,Influence_Priority,Influence_ID,Influence_URL
D1012,IP attorney or lawyer,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1005,Applying for IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1008,Making money,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1024,Domain Name Dispute (UDRP),Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1012,Hiring a professional,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-8,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1010,IP disputes ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1021,Global IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1040,Support from your vendors,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1011,Patent search,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1018,Court - Patent,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-1,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1009,Patent Re-Examination ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1000,Learn about IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1018,Court - Patent,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1017,Patent opposition,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1007,IP Licensing,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1014,Getting legal help ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
Dxxxx,,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1001,Rebrand your business  ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1009,Patent Re-Examination ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1084,Court - PBR,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1080,Hiring a professional,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1020,IP in other countries,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-9,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1020,Trade mark non-use action,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1016,International disputes,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1014,Alternative dispute resolution (ADR) ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1005,Court - Trade mark,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1036,International disputes,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1006,Mediation ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1002,Notice of Objection,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1005,Apply for a trade mark,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1029,Arbitration ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1030,Interim court injuction order,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1006,Educate your customers ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-7,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1006,Opposition process,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1002,Protecting your business,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
Dxxxx,,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-10,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1015,IP attorney or lawyer,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1018,IP Australia process,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1005,Court - Trade mark,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1013,IP insurance,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-10,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1014,Apply for a design right,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1003,ASBFEO,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1021,Design certification ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1018,eCommerce platform,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1033,Informal contact,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-6,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1087,Court - Designs,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1003,ASBFEO,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1004,Domain Name Dispute (auDRP),Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1002,Monitor supply chain,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1011,Using IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1010,Report criminal activities ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1019,Australian IP overseas,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1015,Enforcing to defend ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-8,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1017,Design certification ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1028,Negotiation,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
Dxxxx,,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
E1013,Complaints,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1067,Notification of prior art,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1015,Apply for a patent,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1038,eCommerce platform,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1009,Create Contact Clauses,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1020,Designs search,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-5,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1021,Trade mark registration revocation,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1019,Opposition process,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1005,IP Audit,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1007,Opposition process,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
C1013,Monitor Competitors ' IP,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
101-4,Infringement 101,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1015,Trade mark non-use action,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1004,IP attorney or lawyer  ,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
B1003,De-escalate,Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
D1020,"Sorry, This information isn't available yet",Null (FOR NOW),Null (FOR NOW),Null (FOR NOW)
