UDID,Headline_Alt,Destination_URL,Destination_name,Internal_Destination,Internal_Destination_UDID
C1010,e-commerce registeries ,https://www.temu.com/intellectual-property-complaint.html?refer_page_name=intellectual-property-policy&refer_page_id=19457_1753084754239_fedamubrim&refer_page_sn=19457&_x_sessn_id=6yq4j50u6o,Temu IP Portal,No,Null
C1010,e-commerce registeries ,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringement-facilitated-online,Stop infringement facilitated online | IP Australia First Response,Yes,Null
C1010,e-commerce registeries ,https://sell.amazon.com/brand-registry,Amazon Brand Registry,No,Null
C1010,e-commerce registeries ,https://www.ebay.com.au/help/policies/listing-policies/selling-policies/intellectual-property-vero-program?id=4349&srsltid=AfmBOoogsp-1NqyjXaxBXWR7MfZoAO6kN91ahTpKrQuQAT0JVnWncwo1,VeRO Program - eBay,No,Null
C1010,e-commerce registeries ,https://m.shein.com/au/copyright-noticeam-a-379.html,Shein IP Protection Platform,No,Null
C1003,Monitor competitors' IP,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-idea-against-existing-patents,Freedom to Operate (FTO) searches,Yes,Null
C1003,Monitor competitors' IP,https://ipsearch.ipaustralia.gov.au/patents/,Australian Patent Search,No,Null
C1003,Monitor competitors' IP,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,Get professional assistance with your IP | IP Australia,No,Null
C1003,Monitor competitors' IP,https://www.wipo.int/en/web/wipo-magazine/articles/ip-and-business-launching-a-new-product-freedom-to-operate-34956,Freedom to Operate search strategies | WIPO,No,Null
C1003,Monitor competitors' IP,https://www.ipaustralia.gov.au/tools-resources/patent-analytics-hub,Patent analytics for business decision-making | IP Australia,No,Null
D1010,Letter of demand,https://ipfirstresponse.ipaustralia.gov.au/infringement-101,what infringement can look like,Yes,Null
D1010,Letter of demand,https://ipfirstresponse.ipaustralia.gov.au/options/copyright-infringement,Copyright infringement | IP Australia First Response,Yes,Null
D1010,Letter of demand,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3952303,"Weatherall K and Webster E (2010) 'Patent infringement in Australia: Results from a survey', Federal Law Review, 38, 21-70, 40",No,Null
D1010,Letter of demand,http://www.artslaw.com.au/services/legal-query-form/,www.artslaw.com.au/services/legal-query-form/,No,Null
D1010,Letter of demand,https://www.artslaw.com.au/product/copyright-infringement-letter-of-demand/,template letter of demand,No,Null
D1010,Letter of demand,http://www.copyright.org.au/legal-advice/,www.copyright.org.au/legal-advice/,No,Null
D1010,Letter of demand,/options/provide-opportunity-other-party-stop-infringing,informal contact,No,Null
D1010,Letter of demand,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,getting professional assistance with your IP,No,Null
D1010,Letter of demand,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
D1010,Letter of demand,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/what-to-consider-before-taking-legal-action,What To Consider Before Taking Legal Action | IP Australia,No,Null
D1010,Letter of demand,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip,Someone Is Using My IP | IP Australia,No,Null
D1010,Letter of demand,https://www.ipaustralia.gov.au/news-and-community/webinars/updated-advanced-trade-marks-enforcement,Advanced Trade Marks: Enforcement | IP Australia,No,Null
D1010,Letter of demand,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm?_gl=1*1a9t713*_ga*MTUwOTM4MDc5LjE3MzM3ODMxNTI.*_ga_GMT4KC15KS*MTczNjgyNzM1OS4yNy4xLjE3MzY4MjczNjkuMC4wLjA.,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
E1024,Protecting your business,https://www.ipaustralia.gov.au/about-us,About us | IP Australia,No,Null
B1012,Informal contact,https://ipfirstresponse.ipaustralia.gov.au/options/receiving-letter-demand,Receiving a letter of demand,Yes,Null
B1012,Informal contact,https://ipfirstresponse.ipaustralia.gov.au/options/agree-commercial-arrangement,Agree to a commercial arrangement,Yes,Null
B1012,Informal contact,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,Learn more about alternative dispute resolution,Yes,Null
B1012,Informal contact,https://www.ipaustralia.gov.au/manage-my-ip/how-to-respond-to-accusations-of-ip-infringement,How to respond to accusations of IP infringement | IP Australia,No,Null
B1012,Informal contact,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,IP First Response | Obtain legal advice on enforcement options,Yes,Null
B1012,Informal contact,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm?_gl=1*lf25uu*_ga*OTM2NTQ2NDI2LjE3NDI5NjA5OTg.*_ga_GMT4KC15KS*czE3NDc3MDM4ODgkbzI1JGcxJHQxNzQ3NzAzOTExJGowJGwwJGgw,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
D1006,Mediation ,https://resolution.institute/Web/Shared_Content/Profiles/Member-Directory/Member-Directory.aspx,The Resolution Institute's Dispute Resolver Directory list,No,Null
D1006,Mediation ,https://www.asbfeo.gov.au/,The Australian Small Business and Family Enterprise Ombudsman (ASBFEO),No,Null
D1006,Mediation ,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiMzbCTouqKAxVCSmwGHaVGNcEQFnoECBcQAQ&url=https%3A%2F%2Fwww.wipo.int%2Famc%2Fen%2F&usg=AOvVaw2qsEjFbq-uX_WuIOR5puTG&opi=89978449,The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Center,No,Null
D1006,Mediation ,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-international-disputes,WIPO ADR Options,Yes,Null
D1006,Mediation ,https://acica.org.au/,Australian Centre for International Commercial Arbitration,No,Null
D1006,Mediation ,https://msb.org.au/,Mediator Standards Board,No,Null
D1006,Mediation ,https://disputescentre.com.au/,Australian Disputes Centre,No,Null
D1006,Mediation ,https://www.vsbc.vic.gov.au/,Victorian Small Business Commission,No,Null
D1006,Mediation ,https://www.smallbusiness.nsw.gov.au/,New South Wales Small Business Commissioner,No,Null
D1006,Mediation ,https://www.sasbc.sa.gov.au/,South Australian Small Business Commissioner,No,Null
D1006,Mediation ,https://www.smallbusiness.wa.gov.au/,Western Australia Small Business Development Corporation,No,Null
D1006,Mediation ,https://www.business.qld.gov.au/running-business/support-assistance/qsbc,Queensland Small Business Commissioner,No,Null
D1006,Mediation ,"https://www.artslaw.com.au/information-sheet/alternative-dispute-resolution-binding-expert-dermination-and-non-binding-e/#:~:text=How%20does%20the%20Arts%20Law, of%20the%20Centre&apos;s%20panel%20lawyers.",the Arts Law Centre of Australia,No,Null
D1006,Mediation ,https://resolutionpathways.com.au/,Resolution Pathways,No,Null
D1006,Mediation ,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm?_gl=1*wp2lum*_ga*MTUwOTM4MDc5LjE3MzM3ODMxNTI.*_ga_GMT4KC15KS*MTczNjgxNTEyNS4yNS4xLjE3MzY4MTY5MDEuMC4wLjA.#als_iptags=Trade%20marks&als_e=0,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
D1006,Mediation ,https://www.fcfcoa.gov.au/gfl/gfl-fees,mediation by a court officer,No,Null
D1006,Mediation ,https://mediationsaustralia.com.au/our-fees/,private mediator,No,Null
D1006,Mediation ,https://www.wipo.int/amc/en/,World Intellectual Property Organisation (WIPO)'s Arbitration and Mediation Center,No,Null
D1006,Mediation ,https://www.wipo.int/export/sites/www/amc/en/docs/wipoadr_patents-frand.pdf,take 3-4 months,No,Null
D1006,Mediation ,https://www.disputes.vic.gov.au/about-us/mediation/mediation-faqs,role,No,Null
D1006,Mediation ,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-conflicts-help-experienced-facilitators,Understanding alternative dispute resolution,Yes,Null
D1006,Mediation ,https://www.fedcourt.gov.au/services/ADR/mediation,Mediation,No,Null
D1006,Mediation ,https://www.ag.gov.au/legal-system/publications/your-guide-dispute-resolution,Your guide to dispute resolution,No,Null
D1006,Mediation ,https://business.gov.au/people/disputes/resolve-disputes#alternative-dispute-resolution-ADR,Resolve disputes | business.gov.au,No,Null
D1006,Mediation ,https://www.education.gov.au/hercip,"Higher Education Research Commercialisation Intellectual Property Framework - Department of Education, Australian Government",No,Null
D1006,Mediation ,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,getting professional assistance with your IP,No,Null
D1006,Mediation ,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
D1006,Mediation ,https://www.fcfcoa.gov.au/fcfcoa-annual-reports/2023-24,Annual Reports 2023-24,No,Null
Dxxxx,,Mailto:IPFirstResponse@ipaustralia.gov.au,email,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/center/background.html,World Intellectual Property Organization (WIPO) Arbitration and Mediation Center,No,Null
D1022,World IP Organisation (WIPO) ,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,General ADR Card,Yes,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/goodoffices/,Good Offices,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/neutrals/index.html,extensive global database,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/center/specific-sectors/,WIPO Alternative Dispute Resolution (ADR) Services for Specific Sectors,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/eadr/,online case administration tools,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/mediation/index.html,Mediation,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/arbitration/,Arbitration,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/arbitration/what-is-exp-arb.html,Expedited Arbitration,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/expert-determination/,Expert determination,No,Null
D1022,World IP Organisation (WIPO) ,https://ipfirstresponse.ipaustralia.gov.au/options/enforce-your-ip-overseas,IP First Response webpage on enforcing your IP overseas,Yes,Null
D1022,World IP Organisation (WIPO) ,mailto:arbiter.mail@wipo.int,arbiter.mail@wipo.int,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc-forms/adr/good-offices-services,WIPO Good Office,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/index.html,WIPO Arbitration and Mediation Center,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/center/adr-assistance.html,How can WIPO assist in resolving intellectual property disputes?,No,Null
D1022,World IP Organisation (WIPO) ,https://www3.wipo.int/amc-forms/en/adr/mediation,a unilateral request for mediation,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/center/specific-sectors/smes/index.html,SMEs,No,Null
D1022,World IP Organisation (WIPO) ,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm?_gl=1*wp2lum*_ga*MTUwOTM4MDc5LjE3MzM3ODMxNTI.*_ga_GMT4KC15KS*MTczNjgxNTEyNS4yNS4xLjE3MzY4MTY5MDEuMC4wLjA.#als_iptags=Trade%20marks&als_e=0,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
D1022,World IP Organisation (WIPO) ,https://amc.wipo.int/adr-fee-calculator/,Fee Calculator,No,Null
D1022,World IP Organisation (WIPO) ,https://www3.wipo.int/amc-forms/en/adr/unilateral-mediation,a unilateral request for mediation,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/clauses/index.html,ADR clauses in your contracts,No,Null
D1022,World IP Organisation (WIPO) ,https://www.ag.gov.au/legal-system/publications/your-guide-dispute-resolution,Your guide to dispute resolution,No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/,Alternative Dispute Resolution,No,Null
D1022,World IP Organisation (WIPO) ,https://business.gov.au/people/disputes/resolve-disputes#alternative-dispute-resolution-ADR,Resolve disputes | business.gov.au,No,Null
D1022,World IP Organisation (WIPO) ,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-conflicts-help-experienced-facilitators,IP First Response Option Guide:Understanding alternative dispute resolution,Yes,Null
D1022,World IP Organisation (WIPO) ,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,IP First Response Option Guide: Mediation,Yes,Null
D1022,World IP Organisation (WIPO) ,https://ipfirstresponse.ipaustralia.gov.au/options/arbitration,IP First Response Option Guide: Arbitration,Yes,Null
D1022,World IP Organisation (WIPO) ,https://www.education.gov.au/hercip,"Higher Education Research Commercialisation Intellectual Property Framework - Department of Education, Australian Government",No,Null
D1022,World IP Organisation (WIPO) ,https://www.wipo.int/amc/en/clauses/,Recommended WIPO Contract Clauses and Submission Agreements,No,Null
D1022,World IP Organisation (WIPO) ,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,getting professional assistance with your IP,No,Null
D1022,World IP Organisation (WIPO) ,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
D1057,Report IP crime or safety concerns,https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy,IP First Response feedback form,No,Null
D1057,Report IP crime or safety concerns,mailto:IPFirstResponse@IPAustralia.gov.au?subject=Feedback%20on%20IP%20First%20Response,emailing us,No,Null
D1057,Report IP crime or safety concerns,https://crimestoppers.com.au/,Crime Stoppers,No,Null
D1057,Report IP crime or safety concerns,https://www.tga.gov.au/resources/resource/forms/report-perceived-breach-or-questionable-practices,this page,No,Null
D1057,Report IP crime or safety concerns,https://www.accc.gov.au/about-us/contact-us-or-report-an-issue/report-a-consumer-issue,this page,No,Null
D1057,Report IP crime or safety concerns,https://www.scamwatch.gov.au/types-of-scams/product-and-service-scams,Product and service scams | Scamwatch,No,Null
D1057,Report IP crime or safety concerns,https://www.ipaustralia.gov.au/about-us/doing-business-with-us/fraud-and-corruption/scams-related-to-managing-ip-rights,Scams related to managing IP Rights | IP Australia,No,Null
D1057,Report IP crime or safety concerns,https://www.ipaustralia.gov.au/about-us/doing-business-with-us/fraud-and-corruption/how-to-report-fraud-and-corruption,How to report fraud and corruption | IP Australia,No,Null
D1057,Report IP crime or safety concerns,mailto:ipfirstresponse@ipaustralia.gov.au,email,Yes,Null
D1057,Report IP crime or safety concerns,https://www.afp.gov.au/crimes/fraud-and-corruption/intellectual-property-crime,Intellectual Property crime | AFP,No,Null
D1057,Report IP crime or safety concerns,https://www.tga.gov.au/safety/buying-health-products-online-has-risks/counterfeit-fake-medicines-and-medical-devices,Counterfeit (fake) medicines and medical devices | Therapeutic Goods Administration (TGA),No,Null
D1057,Report IP crime or safety concerns,https://www.afp.gov.au/news-centre/media-release/man-charged-selling-counterfeit-electronics-gold-coast,Man charged with selling counterfeit electronics on the Gold Coast | Australian Federal Police,No,Null
D1057,Report IP crime or safety concerns,https://www.arnnet.com.au/article/1256866/aussie-hacker-ordered-to-give-up-1-7m-after-international-investigation.html,Aussie hacker ordered to give up $1.7M after international investigation - ARN,No,Null
D1057,Report IP crime or safety concerns,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,*getting professional assistance with your IP*,No,Null
D1057,Report IP crime or safety concerns,https://ipta.org.au/community/get-free-consultation/,*30 minute consultations with an attorney*,No,Null
D1057,Report IP crime or safety concerns,https://www.artslaw.com.au/services/legal-query-form/,*Arts Law Centre of Australia*,No,Null
D1057,Report IP crime or safety concerns,https://www.copyright.org.au/legal-advice/,*Australian Copyright Council*,No,Null
E1003,Costs of IP,https://ipfirstresponse.ipaustralia.gov.au/all-enforcement-options,All enforcement options | IP Australia First Response,Yes,Null
E1003,Costs of IP,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,Resolve conflicts with the help of experienced facilitators   | IP Australia First Response,Yes,Null
E1003,Costs of IP,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip,Someone is using my IP | IP Australia,No,Null
E1003,Costs of IP,https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,Access help tailored to resolve business disputes  | IP Australia First Response,Yes,Null
E1003,Costs of IP,https://www.wipo.int/amc/en/,Alternative Dispute Resolution | WIPO AMC,No,Null
E1003,Costs of IP,https://www.fedcourt.gov.au/services/ADR/mediation,Mediation | Federal Court of Australia,No,Null
E1003,Costs of IP,https://www.fedcourt.gov.au/law-and-practice/practice-documents/practice-notes/gpn-costs,Costs Practice Note (GPN-COSTS) | Federal Court of Australia,No,Null
B1001,Gauge the situation  ,https://ipfirstresponse.ipaustralia.gov.au/options/receiving-letter-demand,Receiving a letter of demand,Yes,Null
B1001,Gauge the situation  ,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
B1001,Gauge the situation  ,https://ipfirstresponse.ipaustralia.gov.au/options/ceasing-use-contested-ip,IP First Response | Ceasing use of contested IP,Yes,Null
E1004,Before applying,https://www.ipaustralia.gov.au/tools-and-research/business-resources/choosing-the-right-ip-tool,matching what you have to the right IP type.,No,Null
E1004,Before applying,https://search.ipaustralia.gov.au/trademarks/search/quick,Australian Trade Mark Search (ATMS),No,Null
E1004,Before applying,https://www.ipaustralia.gov.au/trade-marks/search-existing-trade-marks/tm-checker,TM Checker,No,Null
E1004,Before applying,https://www.ipaustralia.gov.au/trade-marks,Trade marks | IP Australia,No,Null
E1004,Before applying,https://www.ipaustralia.gov.au/patents,Patents | IP Australia,No,Null
D1011,Guage the situation  ,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,IP  lawyer or IP attorney,No,Null
D1011,Guage the situation  ,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,Obtain legal advice on enforcement options | IP Australia First Response,Yes,Null
D1011,Guage the situation  ,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
D1011,Guage the situation  ,https://www.artslaw.com.au/services/legal-query-form/,Arts Law Centre of Australia,No,Null
D1011,Guage the situation  ,https://www.copyright.org.au/legal-advice/,Australian Copyright Council,No,Null
E1007,Checking IP rights ,https://www.ipaustralia.gov.au/trade-marks/search-existing-trade-marks,How to search existing trade marks | IP Australia,No,Null
E1007,Checking IP rights ,https://www.ipaustralia.gov.au/patents/search-existing-patents,How to search existing patents | IP Australia,No,Null
E1007,Checking IP rights ,https://www.ipaustralia.gov.au/design-rights/how-to-search-existing-designs,How to search existing designs | IP Australia,No,Null
E1007,Checking IP rights ,https://www.copyright.org.au/browse/book/ACC-An-Introduction-to-Copyright-in-Australia-INFO010,An Introduction to Copyright in Australia - ACC - INFO010 - Australian Copyright Council,No,Null
E1007,Checking IP rights ,https://www.auda.org.au/au-domain-names/au-tools/,.au tools,No,Null
B1014,Negotiation,https://ipfirstresponse.ipaustralia.gov.au/options/agree-commercial-arrangement,Agree to a commercial arrangement | IP Australia First Response,Yes,Null
B1014,Negotiation,https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,Access help tailored to resolve business disputes  | IP Australia First Response,Yes,Null
E1006,Using IP in business,https://www.ipaustralia.gov.au/trade-marks/search-existing-trade-marks/tm-checker,trade marks,No,Null
E1006,Using IP in business,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-idea-against-existing-patents,patents,Yes,Null
E1006,Using IP in business,https://search.ipaustralia.gov.au/designs/search/quick?_gl=1%2as1ag7s%2a_ga%2aMTExMjM3MjAxNi4xNjM1ODI2Nzc1%2a_ga_QX1TTWEZ1L%2aMTY0NDUzMTQzMy4xMjUuMS4xNjQ0NTMxNTY0LjA,designs,No,Null
E1006,Using IP in business,https://ipsearch.ipaustralia.gov.au/pbr/,plant breeders' rights,No,Null
E1006,Using IP in business,https://ipfirstresponse.ipaustralia.gov.au/options/monitor-trade-mark-register-and-market-competitor-activity,monitoring competitors,Yes,Null
E1006,Using IP in business,https://www.wipo.int/en/web/business/checklist,A step-by-step IP Strategy Checklist for SMEs,No,Null
E1006,Using IP in business,https://www.ipaustralia.gov.au/tools-and-research/business-resources,Business Resources | IP Australia,No,Null
D1016,Opposition process,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/how-to-challenge-someone-elses-ip/opposition-hearings,trade mark opposition,No,Null
