UDID,Overtitle,Main-title,Description,Canonical-url,Entry-point,Relevant-ip-right,Estimate-cost,Estimated-effort,Resolution-rate,Archectype ,Provider,Publication-date,Last-updated,Additional-disclaimer,Keywords,Notes
B1018,eCommerce platform,Oppose an IP infringement notice from an online marketplace ,Dispute an action that an eCommerce platform has taken against you,https://ipfirstresponse.ipaustralia.gov.au/options/oppose-ip-infringement-notice-online-marketplace,"""Accused""","""Any dispute""",Free,Hours to days,Variable,Commercial Third Party Service,eCommerce provider,1/07/2025,1/10/2025,"Please note, some online marketplaces may have additional fees. Be aware that the exact requirements may vary depending on the marketplace you received the notice from. ","""IP dispute"", ""Online marketplace"", ""Ecommerce Platform"", ""An IP Infringement Notice From An Online Marketplace"", ""Marketplace Dispute""",
B1019,Opposition process,Challenge the registration of a new trade mark to defend your right,Oppose a trade mark you’re accused of infringing before it becomes registered,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark-to-defend,"""Accused""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",Months to years,1-3% of trade marks are opposed,Government Service,IP Australia,1/07/2025,27/01/2026,Null,"""Trade marks"", ""Opposition proceedings"", ""Trade mark registration"", ""Opposition Process"", ""The Registration Of A New Trade Mark""",
B1020,Trade mark non-use action,Request IP Australia remove an unused trade mark to defend your right,Request IP Australia removes an unused  trade mark from the register.,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-remove-unused-trade-mark-defend-your-right,"""Accused""","""Trade mark"", ""Unregistered-tm""",$350,Days (to file),Approx 1200 applications made to IP Australia per year,Government Service,IP Australia,1/07/2025,5/09/2025,Null,"""Trade marks"", ""Trade mark non-use"", ""Trade mark registration"", ""Trade Mark Non-use Action"", ""IP Australia Remove An Unused Trade Mark""",
B1021,Design certification ,Request confirmation that someone else's registered design is valid,Third-party examination lets any person request IP Australia to conduct a formal examination of a registered Australian design,https://ipfirstresponse.ipaustralia.gov.au/options/request-confirmation-someone-elses-registered-design-valid,"""Accused""","""Design""",500,Hours (to submit),  Approximately 20% of designs are certified ,Government Service,IP Australia,28/07/2025,27/01/2026,Formal action to protect design rights — like sending a letter of demand (or cease-and-desist letter) — can only be initiated after a design right is certified. A threat to start infringement or similar proceedings against another person in respect of a design will be an unjustified threat if the design has not been certified. A person who receives such a threat can start legal action against the person making the threat: see Respond to an unjustified threat | IP Australia First Response. ,"""Designs"", ""Design certification"", ""Design validity check"", ""Confirmation That Someone Else's Registered Design Is Valid"", ""Registered Australian""",
C1002,Monitor supply chain,Detect and discourage potential infringement in your supply chain,Ensure your partners and suppliers are not unintentionally exposing you to IP risk through unlicensed or counterfeit components.,https://ipfirstresponse.ipaustralia.gov.au/options/detect-and-discourage-potential-infringement-your-supply-chain,"""Proactive""","""Patent""",Variable,Days to weeks,Null,Self-Help Strategy,Self-Help,28/07/2025,22/01/2026,Null,"""Patents"", ""Counterfeit goods"", ""Licensing"", ""Supply chain"", ""Monitor Supply Chain""",
C1003,Monitor competitors' IP,Identify and track your competitors' patents and activity,Monitor your competitors' activity to anticipate conflicts or opportunities.,https://ipfirstresponse.ipaustralia.gov.au/options/identify-and-track-patents-and-activity-your-competitors,"""Proactive""","""Patents""","Free, plus optional professional fees",Hours to days,Null,Self-Help Strategy,Self-Help,28/07/2025,23/01/2026,Null,"""Patents"", ""Monitor Competitors' IP"", ""Identify And Track Your Competitors' Patents And Activity"", ""Anticipate Conflicts"", ""Monitor Competitors Activity""",
C1004,Reinforce your right,Use your trademark prominently to build recognition and protection,"Make strong, visible use of your IP to increase consumer recognition and legal standing.",https://ipfirstresponse.ipaustralia.gov.au/options/use-your-trade-mark-prominently-build-recognition-and-protection,"""Proactive""","""Trade mark"", ""Unregistered-tm""",Null,Null,Null,Self-Help Strategy,Self-Help,28/07/2025,5/09/2025,Null,"""Trade marks"", ""Reinforce Your Right"", ""Use Your Trademark Prominently To Build Recognition And"", ""Visible Use IP"", ""Strong Visible Use""",
C1005,IP Audit,"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS","Identify IP in your portfolio, who owns it, what it’s worth, it’s legal status, and what to do next.",https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps,"""Proactive""","""Any IP right""","Free, plus optional professional fees",Days to weeks,Null,Self-Help Strategy,Self-Help,28/07/2025,1/10/2025,Null,"""Intellectual property rights"", ""IP Audit"", ""Conduct IP Audits To Spot Gaps Reduce Risks"", ""Audits Spot"", ""Owns Worth""",
C1006,Educate your customers ,Help customers differentiate between your products and lookalikes  ,Build brand loyalty and reduce confusion by clearly explaining what makes your product genuine. ,https://ipfirstresponse.ipaustralia.gov.au/options/help-customers-differentiate-between-your-products-and-lookalikes,"""Proactive""","""Any IP right""",Null,Null,Null,Self-Help Strategy,Self-Help,28/07/2025,2/10/2025,Null,"""Intellectual property rights"", ""Educate Your Customers"", ""Help Customers Differentiate Between Your Products And Lookalikes"", ""Clearly Explaining Makes"", ""Makes Product Genuine""",
C1007,IP Licensing,Explore opportunities by licensing  your IP,Consider licensing your IP to others or obtaining a licence for contested IP to avoid disputes and add value.,https://ipfirstresponse.ipaustralia.gov.au/options/explore-opportunities-licensing-your-ip,"""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""","$1,500-5,000",Days to weeks,Variable,Self-Help Strategy,IP professionals,28/07/2025,5/09/2025,Null,"""Trade marks"", ""Licensing"", ""IP Licensing"", ""Explore Opportunities By Licensing Your IP"", ""Licence Contested""",
C1009,Create Contact Clauses,Plan how IP disputes will be handled via contracts ,Create ready-to-use contract clauses that will proactively refer IP disputes to dispute resolution processes endorsed by the World Intellectual Property Organisation (WIPO). ,https://ipfirstresponse.ipaustralia.gov.au/options/plan-how-ip-disputes-will-be-handled-contracts,"""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,"In 2024, WIPO AMC helped resolve 858 intellectual property (IP) disputes.",Non-Government Third-Party Authority,World Intellectual Property Office Arbitration and Mediation Center,28/07/2025,15/10/2025,Null,"""Trade marks"", ""Contract terms"", ""Create Contact Clauses"", ""Plan How IP Disputes Will Be Handled Via"", ""Clauses Plan""",
C1010,e-commerce registeries ,Inform online platforms that you have IP rights,"Register your IP with online platforms to access their enforcement tools.
",https://ipfirstresponse.ipaustralia.gov.au/options/inform-online-platforms-you-have-ip-rights,"""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,Null,Commercial Third Party Service,Online Marketplaces,28/07/2025,5/09/2025,Null,"""Trade marks"", ""Online marketplace"", ""E-commerce Registeries"", ""Inform Online Platforms That You Have IP Rights"", ""Platforms Access Enforcement""",
C1011,Patent search,Check your idea against existing patents.,Conduct a thorough search of existing patents - also known as Freedom to Operate search.,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-idea-against-existing-patents,"""Proactive"""," ""Patent""",Free or $2k-$7k in professional fees,Hours to weeks,Null,Self-Help Strategy,Self-Help,28/07/2025,5/09/2025,A freedom to operate search does not give you a legal guarantee - but it may help you avoid costly surprises later. ,"""Patents"", ""Patent Search"", ""Check Your Idea Against Existing Patents"", ""Check Idea Existing"", ""Search Check Idea""",
C1012,Hiring a professional,Choosing a Qualified Person (QP) to conduct growing trials,Deciding who will conduct growing trials for your plant breeder’s rights application. ,https://ipfirstresponse.ipaustralia.gov.au/options/choosing-qualified-person-qp-conduct-growing-trials,"""Proactive""","""PBR""",Variable fees,Years,Required for all PBR applications,Commercial Third Party Service,Qualified Person,28/07/2025,26/03/2026,Please note: You must engage a QP even if you do not need to do an Australian growing trial.,"""Plant breeder's rights"", ""Hiring A Professional"", ""Choosing A Qualified Person Qp To Conduct Growing"", ""Growing Trials"", ""Trials Plant""",
C1013,Monitor Competitors ' IP,Monitor the trade mark register and market for competitor activity,Ensure the exclusivity of your trade mark by detecting potential conflicts early.,https://ipfirstresponse.ipaustralia.gov.au/options/monitor-trade-mark-register-and-market-competitor-activity,"""Proactive""","""Trade mark"", ""Unregistered-tm""","Free, plus optional professional fees",Hours to days,Common practice,Government Service,IP Australia,28/07/2025,5/09/2025,Null,"""Trade marks"", ""Trade mark registration"", ""Monitor Competitors ' IP"", ""Monitor The Trade Mark Register And Market For"", ""IP Monitor""",
C1014,Apply for a design right,Register your right to use your design exclusively,Submit an application to IP Australia to secure exclusive rights that protect the overall appearance that results from visual features applied to a product. ,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-right-use-your-design-exclusively,"""Proactive""","""Design""",$200 to apply,Hours (to apply),"Approx 8,000 designs are registered by IP Australia each year",Government Service,IP Australia,28/07/2025,5/09/2025,Null,"""Designs"", ""Design application"", ""Apply For A Design Right"", ""Your Right To Use Your Design Exclusively"", ""Right Register""",
C1015,Apply for a patent,Apply for a patent to protect your invention from being copied , Prepare and submit formal patent applications to IP Australia to secure exclusive rights for your invention.,https://ipfirstresponse.ipaustralia.gov.au/options/apply-patent-protect-your-invention-being-copied,"""Proactive""","""Patent""","$400 to apply
$2,000-$10,000 in legal fees",Months,"Over 30,000 patents are filed annually in Australia.",Government Service,IP Australia,28/07/2025,5/09/2025,Null,"""Patents"", ""Patent application"", ""Apply For A Patent"", ""For A Patent To Protect Your Invention From"", ""Apply Patent""",
C1019,IP STRATEGY ,DEVELOP A STRATEGY TO MANAGE YOUR IP,"Develop a  forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.",https://ipfirstresponse.ipaustralia.gov.au/options/develop-strategy-manage-your-ip,"""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""","Free, plus optional professional fees",Days to weeks,Common when multiple IP assets are held,Self-Help Strategy,Self-Help,28/07/2025,5/09/2025,Null,"""Trade marks"", ""IP Strategy"", ""Develop A Strategy To Manage Your IP"", ""Secure Manage"", ""Develop Strategy Manage""",
C1019,IP Strategy,Develop a strategy to manage your IP,"Develop a  forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.",https://ipfirstresponse.ipaustralia.gov.au/options/obtain-advice-help-manage-your-ip,"""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""","Free, plus optional professional fees",Days to weeks,Common when multiple IP assets are held,Self-Help Strategy,Self-Help,28/07/2025,26/03/2026,Null,"""Trade marks"", ""IP Strategy"", ""Develop A Strategy To Manage Your IP"", ""Secure Manage"", ""Develop Strategy Manage""",
C1020,Designs search,Check your design against existing designs ,Conduct a thorough search of existing registered designs - also known as Freedom to Operate search.,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-product-against-existing-designs,"""Proactive""","""Design""","Free, plus optional professional fees",Hours,Null,Self-Help Strategy,IP Australia,27/01/2026,27/01/2026,Null,"""Designs"", ""Designs Search"", ""Check Your Design Against Existing Designs"", ""Design Existing"", ""Check Design""",
CS1001,Notice of Objection,The Toyota story: What can SMEs learn from Toyota’s approach to counterfeit products?,Learn how Toyota partners with Australian Border Force's Notice of Objection scheme to stop counterfeit parts and protect brand integrity.,https://ipfirstresponse.ipaustralia.gov.au/options/toyotas-approach-counterfeit-products,"""Case Study""","""Trade Mark"" ""Copyright"" ""Designs""",Null,Null,Null,Government Service,Australian Border Force,29/08/2025,26/03/2026,Null,"""Trade Mark ""copyright"" ""design""""",
D1001,Rebrand your business  ,Choose to rebrand to avoid potential IP conflicts,Strategically rebrand your business to avoid disputes.,https://ipfirstresponse.ipaustralia.gov.au/options/choose-rebrand-avoid-potential-ip-conflicts,"""Enforcement"", ""Accused""","""Trade mark"", ""Unregistered-tm""",Variable (based on brand value),Weeks,High,Self-Help Strategy,Self-Help,28/02/2025,5/09/2025,Null,"""Trade marks"", ""Rebrand Your Business"", ""Rebrand To Avoid Potential IP Conflicts"", ""Rebrand Business"", ""Business Avoid Disputes""",
D1002,Notice of Objection,Stop infringing goods entering the country,Lodge a notice of objection with the Australian Border Force.,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringing-goods-entering-country,"""Enforcement"", ""Proactive""","""Trade mark"", ""Copyright""",Free to lodge,Hours (to apply),More than 500 trade mark notices are currently in force,Government Service,Australian Border Force,28/02/2025,22/01/2026,Please Note: A Notice of Objection cannot act retrospectively  for goods/copies that have already been imported. ,"""Trade marks"", ""Border enforcement"", ""Notice of objection"", ""Infringing Goods Entering The Country"", ""Notice Objection""",
